:	transitive	io.ktor:ktor-http-cio:3.5.2	prod
:	transitive	io.ktor:ktor-http-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-http-jvm:3.5.2	prod
:	transitive	io.ktor:ktor-http:3.5.2	dev
:	transitive	io.ktor:ktor-http:3.5.2	prod
:	transitive	io.ktor:ktor-io-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-io-jvm:3.5.2	prod
:	transitive	io.ktor:ktor-io:3.5.2	dev
:	transitive	io.ktor:ktor-io:3.5.2	prod
:	transitive	io.ktor:ktor-network-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-network-jvm:3.5.2	prod
:	transitive	io.ktor:ktor-network-tls-certificates-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-network-tls-certificates:3.5.2	dev
:	transitive	io.ktor:ktor-network-tls-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-network-tls:3.5.2	dev
:	transitive	io.ktor:ktor-network:3.5.2	dev
:	transitive	io.ktor:ktor-network:3.5.2	prod
:	transitive	io.ktor:ktor-serialization-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-serialization-jvm:3.5.2	prod
:	transitive	io.ktor:ktor-serialization:3.5.2	dev
:	transitive	io.ktor:ktor-serialization:3.5.2	prod
:	transitive	io.ktor:ktor-server-call-logging-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-server-call-logging-jvm:3.5.2	prod
:	transitive	io.ktor:ktor-server-core:3.5.2	dev
:	transitive	io.ktor:ktor-server-core:3.5.2	prod
:	transitive	io.ktor:ktor-server-default-headers-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-server-default-headers-jvm:3.5.2	prod
:	transitive	io.ktor:ktor-server-html-builder-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-server-html-builder-jvm:3.5.2	prod
:	transitive	io.ktor:ktor-server-websockets-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-server-websockets:3.5.2	dev
:	transitive	io.ktor:ktor-sse-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-sse:3.5.2	dev
:	transitive	io.ktor:ktor-test-dispatcher-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-test-dispatcher:3.5.2	dev
:	transitive	io.ktor:ktor-utils-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-utils-jvm:3.5.2	prod
:	transitive	io.ktor:ktor-utils:3.5.2	dev
:	transitive	io.ktor:ktor-utils:3.5.2	prod
:	transitive	io.ktor:ktor-websocket-serialization-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-websocket-serialization:3.5.2	dev
:	transitive	io.ktor:ktor-websockets-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-websockets-jvm:3.5.2	prod
:	transitive	io.ktor:ktor-websockets:3.5.2	dev
:	transitive	io.ktor:ktor-websockets:3.5.2	prod
:	transitive	io.netty:netty-buffer:4.2.16.Final	dev
:	transitive	io.netty:netty-buffer:4.2.16.Final	prod
:	transitive	io.netty:netty-codec-base:4.2.16.Final	dev
:	transitive	io.netty:netty-codec-base:4.2.16.Final	prod
:	transitive	io.netty:netty-codec-compression:4.2.16.Final	dev
:	transitive	io.netty:netty-codec-compression:4.2.16.Final	prod
:	transitive	io.netty:netty-codec-http2:4.2.16.Final	dev
:	transitive	io.netty:netty-codec-http2:4.2.16.Final	prod
:	transitive	io.netty:netty-codec-http:4.2.16.Final	dev
:	transitive	io.netty:netty-codec-http:4.2.16.Final	prod
:	transitive	io.netty:netty-codec-marshalling:4.2.16.Final	dev
:	transitive	io.netty:netty-codec-marshalling:4.2.16.Final	prod
:	transitive	io.netty:netty-codec-protobuf:4.2.16.Final	dev
:	transitive	io.netty:netty-codec-protobuf:4.2.16.Final	prod
:	transitive	io.netty:netty-codec:4.2.16.Final	dev
:	transitive	io.netty:netty-codec:4.2.16.Final	prod
:	transitive	io.netty:netty-common:4.2.16.Final	dev
:	transitive	io.netty:netty-common:4.2.16.Final	prod
:	transitive	io.netty:netty-handler:4.2.16.Final	dev
:	transitive	io.netty:netty-handler:4.2.16.Final	prod
:	transitive	io.netty:netty-resolver:4.2.16.Final	dev
:	transitive	io.netty:netty-resolver:4.2.16.Final	prod
:	transitive	io.netty:netty-transport-classes-epoll:4.2.16.Final	dev
:	transitive	io.netty:netty-transport-classes-epoll:4.2.16.Final	prod
:	transitive	io.netty:netty-transport-classes-kqueue:4.2.16.Final	dev
:	transitive	io.netty:netty-transport-classes-kqueue:4.2.16.Final	prod
:	transitive	io.netty:netty-transport-native-epoll:4.2.16.Final	dev
:	transitive	io.netty:netty-transport-native-epoll:4.2.16.Final	prod
:	transitive	io.netty:netty-transport-native-kqueue:4.2.16.Final	dev
:	transitive	io.netty:netty-transport-native-kqueue:4.2.16.Final	prod
:	transitive	io.netty:netty-transport-native-unix-common:4.2.16.Final	dev
:	transitive	io.netty:netty-transport-native-unix-common:4.2.16.Final	prod
:	transitive	io.netty:netty-transport:4.2.16.Final	dev
:	transitive	io.netty:netty-transport:4.2.16.Final	prod
:	transitive	junit:junit:4.13.2	dev
:	transitive	net.bytebuddy:byte-buddy-agent:1.17.6	dev
